EPOCH,LOSS,TRAIN_SCORE,VAL_SCORE
0,16.199679851531982,1.8003201484680176,0.24052703380584717
1,15.579746782779694,2.4202532172203064,0.3372011184692383
2,nan,nan,0.45013558864593506
3,nan,nan,0.6180340051651001
4,11.420089483261108,6.579910516738892,1.0311762690544128
5,nan,nan,1.384475827217102
6,nan,nan,2.167993664741516
7,nan,nan,3.7587008476257324
8,nan,nan,6.728381156921387
9,nan,nan,15.360508441925049
10,-248.89095211029053,266.8909521102905,41.56622886657715
11,-821.3686923980713,839.3686923980713,181.46239471435547
12,-2842.1669006347656,2860.1669006347656,536.5913391113281
13,-9840.32876586914,9858.32876586914,2640.044189453125
14,nan,nan,10812.4501953125
15,-141311.26220703125,141329.26220703125,37225.666015625
16,nan,nan,164939.484375
17,-2612462.7265625,2612480.7265625,646276.5625
18,-12401352.90625,12401370.90625,3174875.125
19,-55855921.25,55855939.25,6499934.375
20,nan,nan,42293772.0
